,subset
502,val
503,val
504,train
505,train
506,train
507,train
510,train
511,train
512,test
515,test
516,train
517,test
519,test
520,train
522,train
529,train
530,train
531,train
532,train
533,test
534,train
535,train
536,train
538,train
540,train
541,train
542,train
543,test
544,train
549,train
551,train
553,train
557,test
558,test
559,train
560,train
562,test
563,train
564,train
565,train
567,train
588,train
589,train
592,train
593,test
595,train
596,train
598,train
604,train
605,train
607,train
608,val
609,val
611,train
612,train
615,train
616,val
618,test
621,train
622,val
623,test
632,val
636,train
637,train
639,train
640,val
641,val
643,test
645,test
646,test
647,train
649,val
651,test
652,train
655,test
656,train
660,val
661,train
663,train
665,test
667,train
673,train
674,train
675,train
679,train
680,train
681,test
682,train
683,train
685,train
686,train
687,test
688,train
689,val
690,train
691,val
692,train
693,test
694,train
695,val
696,train
697,train
698,train
699,train
700,test
701,train
702,train
703,train
704,test
705,train
706,train
707,test
708,train
709,train
710,test
711,train
712,train
713,train
714,val
715,train
716,train
717,train
718,train
719,train
720,val
721,train
722,train
723,train
724,test
725,test
726,train
727,train
728,train
729,train
730,train
731,train
732,train
733,train
734,train
735,train
736,train
737,train
738,train
739,train
740,test
741,test
742,test
743,train
744,val
745,train
746,val
747,train
748,train
749,test
750,train
752,val
753,train
754,train
755,test
756,test
757,test
758,test
759,test
760,train
761,val
762,train
763,train
764,train
765,val
766,train
767,train
768,test
769,train
770,train
771,train
772,test
773,train
775,train
776,train
777,val
778,val
779,train
780,train
781,val
782,train
783,train
784,train
785,train
786,train
787,train
788,train
789,train
790,train
791,train
792,test
793,val
794,train
795,train
796,train
797,test
798,train
799,test
800,train
801,val
802,train
803,val
804,train
805,train
806,test
807,test
808,train
809,train
810,train
811,train
812,test
813,val
814,train
815,train
816,train
817,train
818,train
819,train
821,train
823,train
824,train
825,train
826,val
827,train
828,train
829,train
832,train
833,test
834,train
836,train
837,test
838,train
839,train
844,train
846,val
848,train
849,test
850,train
851,train
852,test
853,test
856,test
857,train
860,train
861,val
862,train
867,test
869,train
870,train
871,train
872,val
873,train
874,test
875,val
877,test
879,train
880,test
881,train
883,train
885,test
888,train
889,test
901,train
903,train
906,train
912,train
916,train
919,train
920,train
922,test
923,test
924,train
925,train
926,train
927,train
928,test
929,test
930,train
931,test
932,test
933,train
935,train
936,train
937,val
938,train
939,train
940,train
941,train
946,train
947,train
948,train
949,train
950,train
951,train
953,train
954,train
957,train
959,train
960,train
961,train
964,test
966,train
967,train
968,train
969,val
970,val
971,train
973,test
975,train
977,test
978,train
980,train
984,train
986,train
988,train
989,train
990,train
991,train
993,train
994,train
995,train
996,val
997,test
998,test
1001,train
1003,train
1006,val
1008,train
1009,train
1012,train
1015,val
1016,test
1018,test
1019,test
1022,test
1023,train
1025,train
1026,test
1027,train
1028,test
1029,train
1031,train
1032,train
1035,test
1038,train
1040,train
1041,val
1043,val
1044,train
1045,train
1046,train
1048,test
1051,test
1052,val
1053,train
1054,val
1055,train
1057,test
1059,val
1062,train
1063,train
1064,test
1066,test
1067,train
1069,train
1070,train
1071,train
1072,val
1073,train
1076,train
1077,val
1079,train
1080,val
1081,train
1082,val
1083,test
1085,train
1086,train
1087,train
1088,train
1089,train
1090,train
1093,val
1096,train
1098,train
1099,train
1100,train
1101,train
1103,val
1104,test
1107,train
1108,train
1111,train
1114,train
1115,train
1119,train
1121,train
1127,test
1128,train
1129,train
1130,test
1135,train
1140,train
1142,train
1143,train
1145,val
1146,val
1147,train
1148,val
1150,train
1152,train
1153,train
1154,train
1155,train
1156,train
1157,test
1158,train
1159,test
1160,test
1161,val
1162,train
1163,train
1164,train
1165,val
1166,val
1167,test
1168,train
1169,val
1170,train
1171,train
1172,test
1174,train
1175,train
1176,train
1178,train
1179,train
1180,val
1182,train
1183,val
1184,train
1185,train
1187,train
1189,train
1190,val
1192,train
1193,train
1196,val
1198,val
1199,train
1205,train
1207,train
1209,train
1210,train
1211,train
1212,test
1213,train
1214,train
1215,train
1217,val
1219,train
1220,train
1222,train
1227,train
1229,train
1230,test
1231,train
1232,train
1233,test
1234,train
1240,train
1241,test
1243,train
1244,train
1246,test
1247,train
1248,train
1249,test
1250,train
1251,train
1253,train
1254,val
1257,train
1258,train
1259,val
1260,test
1262,train
1266,train
1273,test
1275,train
1276,train
1277,train
1279,train
1280,train
1281,train
1282,train
1283,train
1284,val
1286,train
1288,test
1290,train
1291,test
1292,test
1293,train
1295,val
1296,train
1297,train
1298,train
1301,test
1302,train
1307,val
1309,train
1310,train
1313,train
1315,train
1317,test
1318,train
1319,train
1320,train
1322,train
1324,train
1325,train
1326,train
1327,test
1329,val
1330,test
1331,val
1332,train
1336,test
1337,train
1338,test
1339,train
1341,train
1344,test
1345,train
1346,test
1347,train
1348,train
1350,train
1352,test
1354,train
1355,train
1356,val
1359,train
1360,train
1361,train
1363,train
1364,train
1365,val
1366,train
1367,train
1368,test
1372,train
1381,train
1382,test
1386,test
1388,train
1392,train
1393,train
1394,val
1398,test
1400,test
1401,test
1402,train
1403,train
1404,train
1407,val
1408,train
1410,train
1411,train
1412,test
1414,train
1415,train
1417,train
1419,test
1421,train
1422,val
1423,train
1424,train
1425,train
1426,train
1430,train
1431,test
1432,train
1434,train
1439,val
1440,train
1447,train
1448,train
1449,train
1450,val
1451,train
1454,train
1457,train
1458,train
1459,train
1460,test
1468,train
1469,train
1479,train
1480,train
1481,train
1483,train
1484,train
1486,train
1488,train
1489,train
1493,train
1494,train
1497,val
1498,train
1499,train
1500,train
1501,val
1502,train
1504,train
1505,train
1506,val
1507,val
1508,val
1509,val
1510,test
1511,train
1513,train
1514,train
1515,test
1518,train
1519,train
1520,test
1521,train
1522,train
1523,train
1526,train
1527,train
1528,test
1529,val
1530,train
1534,test
1535,train
1538,train
1539,train
1540,test
1541,train
1542,train
1543,train
1544,train
1548,train
1549,test
1550,test
1551,train
1552,test
1553,train
1554,test
1555,val
1556,val
1557,test
1558,train
1559,val
1560,train
1566,train
1567,train
1568,train
1569,train
1571,train
1573,train
1574,train
1577,test
1578,train
1579,train
1580,train
1582,train
1583,train
1584,train
1585,train
1586,train
1589,test
1590,train
1591,train
1592,train
1593,val
1594,train
1595,train
1596,train
1597,train
1600,train
1602,train
1603,train
1604,train
1605,train
1606,train
1607,test
1608,val
1609,test
1610,train
1612,train
1613,train
1615,train
1617,train
1618,test
1622,train
1624,train
1625,val
1626,train
1629,train
1630,val
1632,train
1634,train
1635,val
1637,test
1638,train
1639,train
1640,train
1641,test
1644,train
1645,train
1646,train
1647,train
1648,train
1649,train
1650,train
1653,val
1655,train
1656,train
1657,train
1658,test
1661,train
1662,train
1663,train
1665,train
1666,test
1667,test
1669,train
1670,test
1672,train
1673,train
1675,train
1676,train
1677,train
1678,train
1679,train
1680,train
1682,val
1683,val
1684,train
1689,train
1690,train
1692,val
1694,train
1697,train
1698,test
1700,test
1701,test
1702,train
1703,train
1704,test
1705,test
1708,train
1709,train
1710,train
1711,test
1712,train
1713,train
1714,train
1715,train
1716,train
1717,test
1719,test
1720,train
1721,test
1722,train
1723,train
1724,train
1725,train
1726,train
1734,train
1735,train
1736,val
1740,train
1741,train
1743,train
1744,train
1745,val
1746,train
1747,train
1749,train
1750,train
1751,val
1752,test
1754,train
1755,test
1760,train
1764,test
1765,test
1766,test
1768,train
1770,train
1774,train
1776,train
1778,train
1780,train
1781,test
1785,val
1786,test
1789,train
1790,train
1791,train
1792,train
1793,train
1794,train
1797,train
1799,test
1800,train
1801,val
1802,train
1804,val
1805,test
1806,train
1807,val
1808,test
1809,train
1810,train
1812,test
1813,train
1815,train
1816,train
1819,train
1821,train
1822,train
1823,train
1824,train
1825,train
1826,test
1827,train
1829,train
1830,train
1838,train
1847,train
1848,train
1850,train
1852,train
1853,train
1859,train
1862,train
1863,train
1864,train
1866,train
1867,train
1868,train
1869,test
1870,val
1872,train
1876,train
1877,train
1883,val
1886,train
1887,test
1889,val
1890,train
1891,train
1892,train
1893,train
1895,train
1896,train
1897,test
1898,val
1899,train
1902,train
1905,train
1906,train
1911,train
1916,train
1917,train
1921,train
1923,val
1924,test
1929,train
1939,train
1940,train
1941,train
1942,train
1943,train
1944,val
1945,val
1946,test
1947,train
1948,train
1949,train
1950,train
1951,train
1952,test
1953,train
1954,train
1955,train
1956,val
1957,train
1958,train
1960,train
1961,train
1963,train
1965,test
1966,train
1967,train
1968,train
1969,train
1970,train
1971,train
1972,train
1973,train
1975,val
1976,val
1977,val
1978,train
1979,train
1982,test
1984,train
1986,train
1987,train
1988,train
1989,train
1991,test
1992,train
1993,train
1995,train
1998,train
2000,train
2001,train
2003,train
2005,train
2008,train
2009,test
2010,test
2011,train
2012,train
2013,train
2014,train
2015,train
2016,train
2017,train
2018,train
2019,train
2020,train
2021,train
2022,train
2029,train
2030,test
2031,test
2033,train
2034,train
2036,test
2037,train
2038,train
2040,test
2041,train
2042,test
2043,test
2044,train
2045,train
2046,test
2050,train
2054,train
2056,val
2057,train
2060,train
2061,train
2062,train
2067,train
2069,test
2071,train
2073,test
2074,train
2075,test
2076,test
2077,train
2079,train
2080,test
2081,test
2083,train
2084,train
2086,test
2087,train
2088,train
2089,train
2091,train
2095,train
2096,train
2097,train
2099,train
2100,train
2103,train
2104,train
2107,train
2109,train
2110,train
2111,train
2112,train
2116,test
2121,test
2127,train
2134,train
2135,train
2136,train
2137,test
2138,train
2140,train
2141,test
2142,test
2144,train
2145,train
2146,train
2147,train
2148,train
2149,test
2150,train
2151,train
2155,train
2156,train
2157,test
2159,train
2162,test
2168,val
2174,train
2175,test
2181,train
2187,val
2188,test
2189,train
2191,train
2192,train
2194,train
2195,test
2202,val
2203,test
2204,train
2205,train
2206,train
2225,train
2226,train
2230,val
2231,train
2232,test
2241,test
2242,train
2244,val
2245,train
2246,train
2248,val
2250,train
2251,train
2254,train
2256,train
2259,test
2260,train
2265,train
2266,train
2267,train
2269,train
2272,train
2273,test
2275,train
2276,train
2277,test
2280,train
2281,test
2282,train
2283,train
2284,train
2285,train
2287,train
2289,train
2290,test
2291,train
2293,train
2294,train
2295,train
2296,train
2298,train
2300,train
2303,train
2305,train
2308,train
2309,train
2310,train
2311,val
2312,test
2314,test
2316,train
2317,train
2318,train
2351,test
2352,val
2353,train
2354,test
2355,train
2356,train
2360,train
2362,train
2365,train
2368,train
2369,train
2370,train
2372,val
2375,train
2377,train
2378,test
2379,val
2380,train
2384,test
2385,train
2388,val
2390,train
2391,train
2392,val
2393,train
2395,train
2396,val
2397,val
2400,train
2401,train
2403,val
2409,train
2411,val
2413,train
2414,train
2416,train
2417,test
2419,train
2421,train
2424,train
2425,train
2426,train
2427,val
2428,train
2429,test
2430,test
2431,train
2433,train
2434,train
2435,train
2440,val
2441,train
2446,train
2449,train
2450,train
2451,train
2452,val
2453,train
2454,train
2455,test
2456,train
2457,train
2458,val
2459,test
2460,train
2461,test
2462,test
2463,train
2464,train
2465,val
2466,val
2467,train
2468,train
2469,test
2470,test
2471,val
2472,train
2473,train
2474,train
2475,train
2476,train
2477,test
2478,train
2480,train
2481,train
2482,train
2483,train
2484,test
2485,train
2486,train
2487,train
2488,train
2489,train
2490,train
2491,test
2494,train
2495,train
2496,train
2497,train
2499,train
2501,train
2502,train
2503,train
2504,val
2507,train
2509,train
2510,train
2511,train
2512,test
2513,train
2514,test
2515,train
2516,train
2517,train
2518,test
2519,train
2521,train
2522,test
2523,train
2524,train
2525,train
2526,train
2528,train
2529,train
2530,test
2532,val
2533,test
2534,test
2535,train
2536,train
2537,train
2538,train
2539,train
2540,val
2541,train
2545,train
2548,train
2549,train
2550,train
2551,train
2555,val
2557,train
2561,test
2562,train
2564,train
2565,train
2566,val
2567,train
2572,train
2580,train
2581,test
2586,train
2588,val
2589,val
2590,train
2591,test
2592,train
2597,train
2599,train
2600,train
2602,val
2605,test
2606,train
2608,train
2612,train
2613,train
2615,train
2616,train
2617,train
2621,train
2622,train
2625,test
2626,val
2627,train
2628,train
2629,train
2631,train
2633,train
2634,train
2636,val
2637,train
2639,train
2646,train
2649,train
2650,train
2651,train
2652,train
2653,test
2654,val
2655,val
2656,test
2657,val
2659,train
2660,test
2661,train
2662,train
2663,train
2664,train
2665,train
2666,train
2667,train
2668,train
2669,train
2670,test
2671,train
2672,val
2673,train
2674,train
2675,test
2676,val
2677,train
2678,val
2679,train
2680,test
2681,train
2682,train
2683,train
2684,train
2686,train
2688,train
2689,train
2690,train
2691,train
2692,test
2694,train
2695,val
2696,train
2697,train
2698,train
2699,train
2700,train
2701,train
2702,train
2704,train
2705,train
2706,train
2707,test
2708,test
2709,train
2710,train
2711,train
2712,train
2713,train
2714,train
2715,train
2716,train
2717,test
2719,train
2720,train
2721,train
2722,train
2723,train
2724,val
2725,train
2726,train
2727,val
2728,test
2729,train
2730,train
2731,train
2732,train
2733,test
2734,test
2735,train
2736,train
2737,train
2738,train
2739,train
2740,val
2741,test
2742,test
2743,test
2745,train
2746,train
2747,train
2753,train
2754,test
2757,test
2758,train
2759,train
2760,train
2761,train
2763,train
2764,train
2765,train
2766,train
2767,train
2770,train
2772,train
2773,train
2778,train
2779,train
2780,train
2783,test
2784,val
2785,train
2788,train
2789,train
2791,train
2795,test
2796,train
2798,train
2799,train
2800,train
2801,train
2802,test
2804,train
2805,train
2807,train
2808,train
2810,val
2811,train
2813,train
2814,train
2815,train
2816,train
2817,train
2820,val
2823,train
2824,test
2826,train
2828,train
2829,train
2830,test
2835,train
2836,train
2837,test
2838,train
2839,train
2840,train
2841,train
2842,train
2844,test
2845,train
2846,train
2847,test
2848,train
2852,val
2853,test
2855,val
2858,val
2859,train
2861,train
2862,train
2863,train
2865,test
2866,test
2870,train
2871,train
2873,train
2874,train
2875,train
2878,train
2879,test
2881,train
2883,train
2884,train
2890,test
2891,test
2892,test
2893,train
2894,train
2895,train
2896,val
2897,test
2900,train
2902,train
2903,train
2905,val
2907,train
2909,train
2910,train
2911,train
2912,train
2914,train
2915,train
2920,test
2922,train
2924,train
2925,train
2926,train
2927,train
2928,train
2929,test
2930,test
2931,train
2932,train
2933,val
2934,train
2935,train
2941,test
2942,train
2943,train
2944,train
2948,test
2950,test
2951,train
2952,train
2953,train
2954,test
2955,test
2957,train
2958,train
2959,train
2960,test
2961,train
2962,train
2963,train
2964,train
2965,train
2966,train
2968,train
2969,train
2972,test
2978,train
2979,train
2980,train
2981,test
2985,train
2987,train
2990,train
2991,train
2994,train
2997,train
3008,train
3010,train
3016,test
3018,train
3019,train
3021,test
3023,train
3027,train
3028,train
3029,train
3030,train
3031,test
3032,train
3033,train
3034,train
3035,train
3036,train
3037,train
3038,train
3039,train
3040,train
3041,test
3042,train
3043,train
3048,train
3049,train
3050,val
3052,train
3054,test
3058,train
3059,train
3060,train
3061,train
3062,train
3066,train
3068,train
3069,val
3073,train
3074,train
3075,val
3076,test
3077,train
3078,train
3079,train
3080,val
3081,train
3082,test
3084,train
3088,val
3089,train
3093,train
3100,val
3102,train
3103,train
3105,train
3106,train
3107,train
3109,test
3111,train
3112,train
3115,test
3119,test
3121,train
3123,train
3124,val
3125,train
3131,train
3133,train
3134,train
3140,train
3141,train
3143,train
3144,test
3146,train
3147,train
3148,train
3152,train
3158,test
3161,train
3163,train
3164,train
3165,train
3170,train
3171,train
3175,val
3177,test
3180,val
3181,train
3183,train
3184,train
3188,train
3190,train
3191,train
3193,test
3194,train
3199,train
3200,train
3203,test
3209,test
3210,train
3212,train
3213,test
3214,val
3215,train
3216,test
3217,test
3218,train
3219,test
3221,train
3222,train
3223,test
3224,val
3225,train
3228,test
3229,train
3230,test
3231,val
3232,test
3233,train
3237,train
3238,train
3239,test
3240,test
3245,train
3246,train
3248,train
3252,test
3253,train
3255,val
3256,train
3257,test
3259,train
3260,val
3262,test
3263,train
3264,train
3265,test
3266,train
3267,train
3268,train
3269,train
3270,train
3271,train
3272,val
3273,test
3284,test
3285,val
3286,val
3287,train
3289,val
3290,val
3297,train
3298,train
3299,train
3303,test
3305,train
3306,train
3308,val
3309,val
3310,train
3311,test
3312,train
3313,train
3314,test
3317,train
3318,test
3319,train
3320,train
3321,train
3322,train
3323,train
3326,train
3327,train
3328,train
3330,train
3343,val
3344,train
3345,val
3346,train
3347,train
3348,val
3349,train
3354,train
3358,train
3362,train
3364,val
3365,train
3366,train
3369,train
3371,train
3373,train
3376,val
3378,train
3383,train
3384,train
3385,train
3389,test
3392,test
3395,train
3396,train
3397,train
3398,train
3405,train
3408,train
3412,train
3413,train
3414,train
3416,val
3418,train
3431,train
3432,train
3436,train
3437,train
3438,train
3439,train
3444,test
3445,train
3446,train
3447,train
3448,train
3449,train
3452,train
3458,test
3463,train
3465,train
3466,train
3467,train
3471,train
3473,train
3474,train
3475,train
3478,train
3479,test
3480,train
3493,train
3494,test
3496,train
3497,val
3509,val
3512,train
3515,train
3516,test
3523,train
3525,train
3533,test
3548,train
3550,test
3551,train
3552,train
3553,test
3557,train
3558,train
3559,train
3561,test
3564,test
3566,test
3568,test
3571,test
3578,train
3582,train
3588,train
3591,train
3599,test
3600,train
3601,val
3602,val
3603,train
3604,train
3605,train
3606,train
3607,train
3608,test
3609,train
3610,val
3625,val
3627,train
3628,train
3629,train
3630,train
3631,train
3634,train
3636,train
3638,test
3639,test
3640,val
3643,test
3644,train
3648,train
3651,train
3652,test
3653,train
3654,train
3655,test
3656,val
3660,train
3661,test
3662,train
3663,train
3664,test
3665,train
3666,train
3667,train
3668,train
3670,train
3673,train
3675,train
3677,train
3678,train
3681,test
3683,train
3684,train
3685,train
3689,train
3690,train
3691,val
3695,train
3696,test
3698,val
3707,train
3709,val
3711,train
3713,train
3714,train
3717,val
3719,test
3720,test
3723,train
3724,val
3725,val
3726,train
3727,test
3729,val
3730,train
3731,train
3732,val
3735,test
3736,train
3737,train
3738,test
3739,train
3740,train
3741,train
3742,train
3743,train
3744,train
3745,train
3746,train
3747,test
3748,train
3749,test
3750,train
3751,val
3752,test
3753,train
3754,val
3755,test
3756,test
3757,test
3758,train
3760,train
3761,train
3762,train
3763,test
3765,train
3766,train
3768,val
3769,test
3770,train
3771,train
3772,test
3774,train
3775,train
3776,train
3777,train
3778,train
3779,train
3783,train
3784,train
3785,train
3786,train
3787,test
3788,test
3789,train
3790,train
3791,train
3792,train
3796,train
3797,train
3798,train
3800,train
3801,train
3802,val
3803,train
3804,train
3806,train
3807,train
3808,train
3809,train
3810,val
3811,test
3812,train
3813,train
3815,test
3816,train
3817,train
3818,test
3819,train
3820,train
3821,train
3823,test
3824,val
3826,train
3827,train
3828,test
3829,train
3830,test
3831,test
3833,train
3835,train
3837,train
3839,train
3840,train
3841,train
3842,train
3843,train
3844,val
3847,val
3848,train
3849,train
3850,test
3851,train
3852,val
3853,train
3855,test
3856,train
3857,train
3858,train
3859,train
3860,train
3861,train
3862,val
3863,train
3865,train
3866,test
3868,train
3870,train
3871,val
3872,train
3873,train
3875,train
3876,train
3877,train
3878,train
3888,train
3892,train
3893,train
3894,train
3895,train
3896,train
3897,train
3898,train
3899,train
3902,train
3903,val
3905,train
3906,train
3907,train
3908,train
3909,train
3910,train
3911,val
3912,train
3913,train
3914,train
3915,val
3918,train
3919,train
3920,train
3921,train
3922,train
3924,train
3925,train
3926,train
3928,test
3929,test
3930,train
3931,test
3932,train
3933,test
3934,train
3935,train
3936,train
3939,train
3940,test
3943,test
3945,val
3946,train
3948,test
3950,train
3951,train
3952,train
3953,train
3955,train
3956,train
3957,train
3959,train
3961,train
3962,val
3964,train
3967,train
3968,train
3969,train
3971,train
3975,train
3976,train
3977,train
3978,test
3981,train
3982,train
3984,train
3986,train
3990,train
3991,train
3995,train
3996,train
3998,train
3999,train
4000,test
4001,test
4002,train
4003,test
4004,train
4005,train
4008,train
4009,val
4010,train
4011,train
4013,train
4014,train
4015,train
4019,train
4022,train
4024,train
4025,test
4026,train
4027,train
4028,val
4029,val
4031,val
4032,train
4033,train
4034,val
4035,test
4036,train
4037,train
4038,val
4039,train
4041,train
4042,train
4043,train
4044,train
4046,test
4048,train
4051,test
4052,train
4053,test
4054,train
4057,train
4060,train
4061,train
4065,train
4066,test
4067,train
4068,train
4069,test
4070,train
4071,test
4073,val
4074,train
4076,train
4077,train
4084,train
4085,train
4086,train
4087,train
4088,train
4090,train
4091,train
4092,train
4093,train
4094,train
4095,train
4097,train
4099,train
4102,test
4103,train
4104,train
4105,train
4107,train
4108,train
4109,train
4110,train
4111,train
4113,train
4114,val
4115,val
4116,train
4117,train
4118,test
4119,train
4120,train
4122,val
4123,test
4124,train
4125,train
4127,test
4129,train
4131,test
4132,train
4134,test
4137,val
4138,train
4139,test
4140,train
4142,val
4143,train
4144,train
4145,train
4148,train
4149,test
4152,train
4154,train
4155,train
4156,train
4158,train
4159,test
4160,test
4163,train
4164,test
4167,test
4168,test
4169,train
4170,train
4171,test
4172,train
4173,train
4174,train
4175,train
4176,train
4178,train
4179,train
4181,test
4182,train
4185,train
4186,train
4189,train
4192,train
4193,test
4195,train
4197,train
4198,train
4201,test
4204,test
4205,test
4206,val
4207,val
4208,train
4209,train
4210,test
4213,train
4215,train
4217,train
4221,train
4222,train
4223,train
4224,train
4225,train
4230,test
4231,test
4233,train
4237,train
4239,train
4240,train
4241,train
4243,train
4244,test
4250,test
4252,test
4255,val
4256,train
4259,train
4260,train
4262,test
4264,train
4266,test
4267,test
4269,train
4270,val
4271,train
4273,train
4276,test
4278,train
4279,train
4280,train
4281,train
4282,train
4284,train
4286,train
4287,train
4288,train
4289,train
4292,train
4293,train
4294,train
4295,train
4296,train
4298,val
4299,train
4301,train
4303,train
4304,test
4305,val
4306,val
4308,test
4311,train
4314,train
4316,val
4317,val
4322,train
4327,train
4329,train
4330,train
4332,train
4340,train
4342,train
4343,train
4344,test
4345,train
4346,train
4347,train
4348,train
4349,train
4350,train
4351,val
4352,train
4353,train
4354,train
4355,train
4356,train
4357,train
4358,test
4359,train
4360,train
4361,train
4362,test
4363,train
4364,val
4365,val
4366,train
4367,train
4368,train
4369,train
4370,train
4371,test
4372,train
4373,train
4374,train
4375,train
4376,train
4377,train
4378,train
4379,test
4380,val
4381,train
4382,val
4383,train
4384,val
4385,train
4386,test
4387,train
4388,train
4389,test
4390,train
4391,train
4392,train
4393,test
4394,train
4395,train
4397,train
4398,train
4399,test
4400,train
4403,train
4404,train
4405,train
4408,test
4410,test
4411,train
4412,test
4413,train
4414,test
4416,train
4418,train
4420,train
4422,test
4423,train
4424,train
4425,val
4429,val
4430,train
4431,train
4433,train
4435,train
4436,train
4437,train
4438,train
4441,train
4442,test
4443,test
4444,train
4445,train
4450,train
4452,train
4453,test
4454,val
4455,test
4456,test
4457,test
4458,test
4459,train
4463,test
4464,train
4466,train
4468,train
4471,train
4472,val
4473,train
4474,train
4475,test
4476,test
4478,train
4479,train
4480,val
4482,train
4483,train
4484,train
4488,train
4494,train
4496,train
4497,test
4498,train
4499,test
4501,test
4502,train
4503,train
4504,train
4505,test
4507,train
4510,train
4511,train
4513,train
4514,test
4516,train
4517,test
4518,train
4519,train
4521,train
4522,train
4523,train
4529,train
4531,train
4532,train
4533,train
4534,train
4535,test
4536,train
4537,test
4538,test
4540,train
4541,train
4542,test
4544,train
4545,train
4546,train
4547,train
4548,train
4549,test
4550,train
4551,train
4552,train
4553,train
4554,test
4555,val
4556,train
4557,train
4558,train
4559,val
4560,train
4561,train
4562,train
4563,train
4564,test
4566,val
4567,train
4568,test
4569,train
4570,val
4571,train
4572,test
4573,test
4574,train
4575,test
4576,test
4577,train
4578,train
4580,train
4581,train
4582,train
4583,train
4584,train
4585,train
4586,train
4587,train
4588,train
4589,train
4590,train
4591,train
4592,train
4593,train
4594,train
4595,train
4596,train
4598,train
4599,train
4600,train
4601,train
4602,train
4603,train
4605,train
4606,test
4607,train
4608,train
4609,train
4610,train
4611,train
4612,train
4613,train
4615,train
4616,val
4617,train
4618,test
4619,test
4620,train
4621,train
4622,test
4623,train
4624,val
4625,train
4626,train
4627,test
4628,train
4629,val
4630,val
4631,test
4632,train
4633,test
4634,train
4635,train
4636,train
4637,test
4638,train
4639,train
4640,train
4641,train
4642,train
4643,train
4644,train
4645,test
4646,val
4647,train
4648,test
4649,train
4650,test
4651,train
4652,val
4653,test
4654,train
4655,train
4656,test
4657,train
4658,train
4659,train
4660,test
4661,train
4662,train
4663,train
4664,train
4665,train
4666,train
4667,test
4668,train
4669,test
4670,train
4671,train
4672,train
4673,train
4674,val
4675,train
4676,train
4677,test
4678,train
4679,test
4680,train
4681,train
4682,train
4683,train
4684,train
4685,train
4686,test
4687,train
4688,train
4689,train
4690,train
4691,train
4693,train
4694,train
4695,train
4696,train
4697,train
4698,train
4699,train
4701,train
4703,train
4704,train
4705,train
4706,train
4707,val
4709,train
4710,test
4711,train
4712,test
4713,train
4714,train
4715,train
4716,train
4717,train
4718,train
4719,train
4720,train
4721,test
4722,train
4723,test
4724,train
4725,val
4727,test
4728,train
4729,train
4730,train
4731,train
4732,test
4734,test
4736,val
4737,test
4738,train
4739,train
4740,train
4741,test
4742,train
4743,train
4746,train
4747,train
4748,train
4749,train
4750,test
4751,val
4752,train
4753,test
4754,train
4755,val
4756,val
4757,train
4758,test
4760,train
4761,test
4762,val
4763,train
4767,test
4768,train
4769,train
4770,train
4771,test
4772,val
4773,val
4774,train
4775,train
4776,train
4777,train
4778,val
4779,test
4780,test
4781,train
4782,val
4783,test
4784,train
4785,train
4786,train
4787,train
4788,test
4789,train
4790,train
4791,train
4792,test
4793,test
4794,train
4795,train
4796,train
4798,test
4799,train
4801,test
4802,train
4805,train
4806,test
4807,train
4808,val
4809,train
4810,train
4811,train
4812,train
4813,train
4814,val
4815,train
