,subset
3740,val
3741,train
3742,train
3743,val
3744,train
3745,train
3746,train
3747,train
3748,train
3749,train
3750,val
3751,train
3752,train
3753,train
3754,val
3755,val
3756,train
3757,val
3758,train
3760,val
3761,train
3762,train
3763,train
3765,train
3766,train
3768,train
3769,train
3770,train
3771,val
3772,train
3774,train
3775,train
3776,train
3777,val
3778,train
3779,train
3783,train
3784,val
3785,val
3786,train
3787,val
3788,train
3789,train
3790,train
3791,train
3792,train
3796,train
3797,train
3798,train
3800,train
3801,val
3802,train
3803,train
3804,train
3806,val
3807,val
3808,train
3809,val
3810,train
3811,train
3812,val
3813,train
3815,train
3816,train
3817,train
3818,train
3819,train
3820,train
3821,val
3823,train
3824,val
3826,val
3827,train
3828,train
3829,train
3830,train
3831,train
3833,val
3835,train
3837,train
3839,train
3840,train
3841,val
3842,train
3843,train
3844,train
3847,train
3848,train
3849,train
3850,train
3851,train
3852,train
3853,val
3855,val
3856,train
3857,train
3858,train
3859,train
3860,train
3861,val
3862,train
3863,train
3865,train
3866,train
3868,train
3870,train
3871,train
3872,val
3873,train
3875,train
3876,train
3877,train
3878,train
3888,train
3892,train
3893,train
3894,train
3895,train
3896,train
3897,train
3898,train
3899,train
3902,train
3903,train
3905,train
3906,train
3907,train
3908,train
3909,train
3910,train
3911,train
3912,train
3913,train
3914,train
3915,val
3918,train
3919,val
3920,train
3921,train
3922,val
3924,train
3925,train
3926,train
3928,train
3929,train
3930,train
3931,train
3932,train
3933,train
3934,train
3935,train
3936,train
3939,train
3940,train
3943,train
3945,train
3946,val
3948,val
3950,train
3951,train
3952,train
3953,train
3955,train
3956,train
3957,train
3959,train
3961,train
3962,train
3964,train
3967,train
3968,train
3969,train
3971,train
3975,val
3976,train
3977,val
3978,train
3981,train
3982,train
3984,val
3986,train
3990,train
3991,train
3995,train
3996,train
3998,train
3999,train
4000,train
4001,train
4002,val
4003,train
4004,train
4005,train
4008,train
4009,train
4010,train
4011,train
4013,train
4014,val
4015,train
4019,train
4022,val
4024,train
4025,val
4026,train
4027,train
4028,train
4029,train
4031,train
4032,train
4033,val
4034,train
4035,val
4036,train
4037,train
4038,train
4039,train
4041,train
4042,val
4043,train
4044,train
4046,val
4048,train
4051,val
4052,train
4053,train
4054,val
4057,train
4061,train
4066,train
4088,train
4091,val
4092,train
4093,train
4103,train
4115,val
4118,train
4124,train
4142,train
4149,train
4154,train
4155,train
4160,val
4172,train
4178,train
4206,train
4209,train
4252,train
4256,train
4259,train
4260,train
4262,train
4264,val
4266,train
4267,val
4270,train
4280,train
4308,train
4329,train
4340,train
4342,train
4343,train
4344,train
4345,train
4346,train
4347,train
4348,train
4349,val
4350,train
4351,val
4352,train
4353,train
4354,train
4355,train
4356,val
4357,train
4358,train
4359,train
4360,train
4361,train
4362,train
4363,val
4364,train
4365,train
4366,train
4367,train
4368,train
4369,train
4370,train
4371,train
4372,val
4373,val
4374,train
4375,train
4376,val
4377,train
4378,train
4379,train
4380,train
4381,train
4382,train
4383,val
4384,train
4385,train
4386,val
4393,val
4395,val
4397,train
4398,train
4399,train
4400,train
4403,train
4411,train
4416,train
4422,train
4423,train
4429,train
4459,val
4463,val
4464,train
4466,val
4468,train
4471,train
4472,train
4474,train
4475,train
4476,train
4478,train
4479,train
4480,train
4482,train
4484,train
4488,train
4504,train
4507,train
4513,train
4516,train
4529,train
4531,train
4532,train
4533,train
4534,train
4535,train
4536,val
4537,val
4538,train
4540,train
4541,train
4542,val
4544,train
4546,train
4547,train
4548,train
4549,train
4550,train
4554,train
4555,train
4556,train
4557,train
4561,train
4562,train
4563,train
4564,val
4566,train
4567,train
4568,train
4569,train
4570,train
4571,train
4572,val
4573,train
4574,train
4575,val
4576,train
4577,train
4578,train
4580,train
4581,val
4582,train
4583,train
4584,train
4585,train
4586,train
4587,train
4588,train
4589,val
4590,val
4591,train
4592,train
4593,train
4594,train
4595,train
4596,train
4598,val
4599,train
4600,train
4601,train
4602,val
4603,val
4605,train
4606,train
4607,train
4608,train
4609,train
4610,train
4611,train
4612,train
4615,train
4616,train
4617,train
4618,train
4619,train
4620,train
4621,train
4622,train
4623,train
4624,train
4625,train
4626,train
4627,val
4628,train
4629,train
4630,val
4631,train
4632,train
4634,val
4635,train
4636,train
4637,train
4638,val
4639,val
4640,train
4641,train
4644,train
4645,val
4646,train
4647,train
4648,val
4649,train
4650,train
4651,train
4652,train
4653,val
4654,val
4655,train
4656,train
4657,train
4658,train
4659,val
4660,train
4661,val
4662,val
4663,train
4667,val
4669,train
4670,train
4677,train
4678,train
4679,train
4680,train
4681,train
4683,val
4685,train
4688,val
4689,train
4690,train
4691,train
4693,train
4694,train
4695,train
4696,train
4697,train
4698,train
4699,train
4701,train
4703,train
4704,train
4705,train
4706,train
4707,train
4709,train
4710,val
4711,train
4712,val
4713,val
4714,train
4715,train
4716,val
4717,val
4718,train
4719,val
4720,train
4721,train
4722,train
4723,train
4724,train
4725,train
4727,val
4728,train
4729,val
4730,val
4731,train
4732,val
4734,val
4738,val
4740,val
4741,val
4742,train
4743,train
4746,train
4747,train
4748,train
4749,train
4750,val
4751,train
4752,train
4753,train
4754,train
4756,train
4757,train
4758,train
4760,train
4761,val
4762,train
4763,val
4767,train
4768,train
4769,train
4770,train
4771,train
4772,train
4773,train
4774,train
4775,train
4776,train
4777,val
4778,train
4779,train
4780,train
4781,train
4782,train
4783,train
4784,val
4785,train
4786,train
4787,train
4788,train
4789,train
4790,train
4791,train
4792,train
4793,train
4795,train
4798,train
4799,train
4801,train
4807,train
4809,train
4810,train
4811,train
4812,train
4813,train
4814,train
4815,val
4817,train
4820,val
4821,train
4822,train
4824,train
4825,train
4827,val
4828,train
4829,train
4832,train
4833,train
4835,train
4836,val
4838,train
4841,train
4842,val
4843,train
4844,train
4845,train
4847,train
4849,train
4850,val
4851,train
4852,train
4853,val
4854,train
4855,val
4856,val
4857,train
4858,val
4859,val
4860,train
4862,train
4863,train
4864,train
4865,train
4866,train
4867,train
4868,train
4870,val
4871,train
4873,train
4874,val
4875,train
4878,train
4880,train
4882,train
4883,train
4884,train
4885,train
4886,val
4887,train
4891,train
4892,train
4893,train
4895,train
4896,train
4897,train
4898,train
4899,train
4900,train
4902,val
4903,train
4904,train
4905,train
4906,val
4910,train
4911,train
4912,train
4913,train
4915,train
4916,train
4917,train
4918,train
4919,train
4920,train
4921,val
4922,train
4923,val
4924,train
4925,val
4926,train
4927,val
4928,train
4929,val
4930,train
4931,train
4932,train
4933,train
4934,train
4935,train
4936,val
4937,val
4938,val
4939,val
4940,train
4941,train
4943,train
4945,val
4946,val
4947,train
4948,train
4949,train
4950,train
4951,train
4952,train
4953,train
4955,train
4957,train
4958,train
4959,train
4960,val
4961,train
4962,train
4963,train
4964,train
4965,train
4967,val
4968,val
4969,train
4970,val
4973,train
4975,train
4976,val
4977,train
4979,train
4980,val
4981,train
4982,train
4984,train
4985,train
4986,val
4988,train
4989,train
4991,train
4994,train
4995,train
4996,train
4997,train
4998,train
5000,train
5001,val
5002,train
5003,train
5004,val
5005,train
5007,train
5010,train
5011,train
5012,train
5013,val
5015,train
5016,val
5017,train
5018,train
5019,val
5020,train
5021,train
5022,val
5023,train
5025,val
5026,train
5027,train
5028,train
5029,train
5030,train
5031,train
5032,train
5033,train
5034,train
5035,train
5036,train
5037,train
5038,val
5039,train
5040,train
5041,train
5042,train
5043,train
5050,train
5051,val
5052,train
5054,train
5060,train
5065,train
5076,train
5084,train
5085,train
5086,train
5087,val
5088,train
5089,val
5090,train
5092,val
5094,val
5095,train
5096,train
5098,train
5099,train
5100,train
5101,train
5102,train
5113,train
5121,train
5127,train
5140,train
5152,val
5155,train
5161,train
5179,train
5319,val
5321,val
5331,train
5347,val
5354,train
5366,train
5369,train
5371,train
5372,train
5373,train
5374,train
5375,val
5376,train
5377,val
5378,train
5379,train
5380,train
5381,train
5382,train
5383,train
5384,val
5385,train
5387,train
5388,train
5389,train
5390,train
5391,train
5392,train
5393,val
5395,train
5396,train
5397,train
5398,train
5403,train
5406,train
5407,train
5412,train
5414,train
5415,train
5416,train
5417,val
5419,val
5420,train
5423,train
5425,train
5429,train
5432,train
5433,train
5435,val
5441,train
5446,train
5450,train
5452,train
5461,train
5463,train
5484,train
5486,train
5489,val
5493,train
5499,train
5508,train
5511,train
5513,train
5517,val
5518,train
5521,val
5571,val
5572,train
5579,train
5586,train
5590,train
5592,train
5601,train
5615,train
5636,val
5665,train
5668,train
5693,train
5695,train
5696,val
5697,train
5698,train
5699,train
5700,train
5701,train
5704,val
5705,train
5706,train
5710,val
5712,val
5716,train
5717,train
5720,train
5722,train
5723,train
5724,train
5725,train
5727,train
5728,val
5733,train
5736,train
5742,train
5743,train
5746,train
5748,val
5751,train
5754,train
5755,train
5756,train
5767,train
5790,train
5796,train
5809,train
5810,val
5811,train
5813,train
5814,val
5815,train
5816,train
5817,train
5818,train
5819,train
5820,val
5821,val
5822,train
5823,val
5824,train
5825,train
5826,train
5827,train
5828,train
5829,train
5830,train
5831,train
5832,train
5833,train
5835,train
5837,train
5838,train
5839,train
5840,train
5841,val
5844,train
5849,train
5853,val
5860,train
5872,val
5873,train
5876,train
5890,val
5895,train
5900,train
5902,train
5903,train
5904,val
5905,train
5907,train
5909,train
5913,train
5914,train
5916,train
5917,train
5919,train
5920,val
5921,train
5924,train
5925,train
5926,val
5938,train
5962,train
5963,val
5964,train
5965,train
5976,train
5985,train
5992,train
5993,val
5995,train
5996,train
5997,val
6008,train
6016,train
6017,train
6023,train
6025,train
6029,train
6039,train
6049,val
6053,val
6054,train
6057,val
6059,train
6063,train
6068,train
6079,train
6081,train
6082,train
6093,train
6116,val
6141,val
6148,train
6149,train
6192,train
6196,train
6197,train
6205,val
6207,val
6208,train
6222,train
6223,val
6227,train
6252,val
6270,train
6271,train
6272,train
6273,train
6274,train
6280,train
6283,val
6284,train
6290,train
6300,train
6302,val
6303,val
6304,train
6305,train
6307,train
6312,train
6313,train
6314,train
6315,train
6316,train
6317,train
6318,train
6321,train
6323,train
6324,train
6328,train
6331,train
6333,train
6334,train
6341,train
6344,train
6346,train
6347,val
6351,val
6355,train
6358,train
6359,val
6360,train
6362,train
6366,train
6372,val
6374,train
6375,train
6377,train
6389,train
6391,val
6393,train
6394,train
6398,val
6399,train
6401,train
6406,train
6408,train
6421,val
6426,train
6428,train
6435,train
6438,train
6452,train
6459,train
6460,train
6476,train
6478,train
6499,val
6502,train
6521,train
6523,train
6524,train
6527,train
6580,train
6581,train
6583,val
6590,train
6605,train
6606,train
6607,train
6609,train
6612,train
6617,train
6624,train
6646,val
6654,train
6671,train
6688,train
6742,val
6748,train
6753,val
6756,train
6757,val
6758,train
6759,train
6760,train
6761,train
6762,train
6767,val
6768,val
6769,train
6771,train
6773,train
6774,train
6777,train
6782,train
6792,val
6799,train
6819,val
6820,val
6832,train
6850,train
6864,train
6870,train
6883,train
6885,val
6954,train
6973,train
6981,train
6982,train
6983,train
7000,val
7091,train
7096,train
7101,train
7119,train
7127,train
7132,train
7133,train
7134,val
7136,train
7137,train
7138,train
7139,train
7140,train
7141,train
7142,train
7143,train
7144,train
7145,train
7146,train
7147,train
7148,train
7149,train
7154,val
7155,train
7169,train
7170,train
7179,train
7189,train
7195,train
7214,train
7251,train
7253,train
7254,train
7256,train
7257,val
7258,train
7259,val
7260,train
7261,train
7262,train
7263,train
7264,train
7265,train
7266,train
7267,train
7269,val
7270,train
7277,val
7280,train
7281,val
7282,train
7283,train
7284,train
7286,train
7288,val
7309,train
7341,train
7342,train
7349,train
7354,train
7358,train
7362,val
7363,train
7364,val
7365,train
7377,train
7379,train
7380,train
7383,train
7395,train
7398,train
7407,train
7420,train
7421,train
7423,train
7428,train
7463,train
7465,train
7466,train
7471,train
7472,train
7474,train
7475,train
7476,train
7478,train
7481,train
7484,train
7489,train
7490,train
7491,train
7493,val
7495,train
7497,train
7501,train
7502,val
7504,train
7513,val
7514,train
7519,val
7520,val
7521,train
7557,train
7558,train
7559,val
7564,train
7565,train
7566,train
7571,val
7572,val
7573,train
7574,train
7576,train
7577,val
7579,train
7580,train
7582,train
7583,val
7586,train
7587,train
7588,train
7589,train
7590,val
7591,val
7592,train
7593,train
7595,train
7596,train
7597,train
7598,train
7599,train
7603,train
7604,train
7605,val
7606,train
7609,train
7617,train
7618,val
7622,val
7629,train
7630,train
7631,val
7632,train
7633,train
7635,val
7636,train
7637,train
7638,train
7660,train
7664,train
7674,val
7693,train
7696,train
7698,train
7705,val
7709,val
7711,train
7712,val
7713,train
7719,train
7720,train
7721,train
7724,val
7729,val
7730,train
7731,train
7732,train
7739,train
7740,train
7741,train
7742,val
7744,train
7745,train
7748,train
7751,train
7752,val
7753,val
7754,train
7756,train
7761,train
7763,train
7774,train
7775,train
7777,val
7785,train
7786,train
7787,train
7788,train
7791,val
7793,train
7800,train
7803,train
7804,train
7806,train
7808,train
7812,train
7815,train
7820,train
7821,train
7824,train
7861,train
7867,train
7869,train
7875,train
7876,train
7884,train
7886,train
7889,train
7895,train
7905,train
7913,train
7914,train
7918,train
7919,train
7929,train
7935,train
7943,val
7944,val
7947,train
7949,train
7953,train
7956,train
7959,val
7965,train
7968,train
7971,train
7974,train
7980,train
7986,val
7991,val
7997,train
8000,train
8002,train
8003,train
8006,train
8007,val
8008,train
8013,train
8021,train
8023,train
8024,train
8026,train
8028,train
8032,train
8033,train
8044,train
8045,train
8047,train
8050,train
8059,train
8061,train
8063,train
8072,train
8074,train
8078,train
8087,train
8091,train
8092,val
8099,train
8106,train
8108,train
8109,train
8114,train
8117,train
8120,train
8124,train
8127,train
8128,train
8141,train
8156,train
8161,train
8174,train
8180,val
8183,val
8186,train
8189,train
8190,train
8193,train
8197,train
8198,train
8199,val
8206,train
8207,val
8209,train
8210,train
8213,train
8214,train
8216,val
8217,train
8224,val
8225,train
8228,train
8229,train
8230,train
8231,train
8232,train
8233,val
8234,train
8235,train
8236,train
8238,train
8239,train
8243,train
8244,train
8247,val
8248,val
8249,train
8250,train
8251,train
8252,train
8254,train
8256,val
8257,val
8258,train
8259,train
8260,train
8261,val
8262,train
8263,train
8264,val
8265,train
8266,train
8268,val
8269,val
8270,train
8272,train
8274,val
8275,val
8276,train
8277,train
8278,train
8280,val
8282,val
8285,train
8287,train
8289,train
8292,train
8294,train
8296,train
8297,train
8298,train
8299,train
8300,train
8302,val
8303,train
8304,train
8305,train
8306,val
8307,val
8308,val
8312,train
8314,train
8315,train
8316,val
8320,val
8321,val
8322,train
8323,train
8325,train
8326,train
8327,train
8332,val
8333,train
8334,val
8335,train
8336,val
8337,val
8338,train
8339,train
8340,train
8341,val
8342,train
8343,train
8345,train
8348,train
8349,train
8350,train
8351,train
8352,train
8353,train
8354,train
8356,train
8358,train
8360,train
8361,train
8363,train
8364,val
8366,train
8367,train
8368,train
8369,train
8371,train
8374,train
8375,train
8376,train
8378,train
8380,train
8382,train
8383,val
8385,train
8386,train
8387,train
8391,train
8394,train
8395,train
8396,train
8398,train
8399,train
8401,train
8407,train
8411,val
8412,train
8413,train
8414,train
8415,train
8416,val
8417,val
8418,val
8420,train
8422,train
8423,train
8425,val
8427,train
8431,train
8434,val
8435,train
8437,train
8438,train
8439,train
8440,train
8441,train
8443,train
8444,train
8445,train
8446,val
8447,train
8448,train
8450,train
8453,train
8455,train
8457,train
8458,train
8461,train
8462,train
8463,train
8466,val
8467,train
8468,val
8469,val
8471,val
8472,train
8473,train
8474,train
8475,train
8476,train
8479,val
8480,train
8481,train
8482,train
8483,train
8484,train
8485,train
8487,train
8488,val
8489,train
8490,val
8491,train
8492,train
8493,train
8495,train
8496,train
8497,train
8499,train
8500,val
8501,train
8502,train
8503,val
8505,train
8507,val
8508,val
8509,val
8510,train
8511,val
8512,val
8513,train
8514,val
8516,val
8521,train
8522,train
8523,train
8524,train
8525,train
8526,val
8564,train
8569,train
8583,train
8584,train
8587,train
8588,train
8594,train
8596,train
8611,train
8628,train
8629,train
8633,train
8634,train
8640,train
8658,train
8663,train
8664,train
8667,val
8668,train
8671,train
8675,train
8680,train
8681,train
8685,train
8689,train
8690,train
8691,val
8693,train
8695,val
8698,train
8704,train
8708,train
8711,val
8718,train
8719,val
8721,train
8723,train
8730,train
8731,val
8732,train
8733,train
8736,train
8737,train
8740,val
8743,val
8744,train
8758,train
8761,train
8763,train
8764,train
8769,val
8770,val
8775,train
8776,train
8779,train
8780,train
8781,train
8785,train
8790,train
8793,train
8794,train
8795,train
8796,train
8799,val
8800,val
8803,train
8809,train
8811,train
8814,train
8819,train
8823,train
8824,train
8827,train
8830,val
8833,train
8836,train
8837,val
8838,val
8840,train
8847,train
8851,train
8853,train
8856,train
8859,train
8863,train
8865,val
8866,val
8875,val
8876,train
8877,val
8886,train
8887,val
8888,train
8892,train
8903,train
8907,train
8910,train
8914,train
8917,train
8918,train
8920,train
8921,train
8923,train
8925,val
8927,train
8928,train
8932,train
8935,train
8937,train
8941,train
8943,val
8945,val
8946,val
8955,train
8959,train
8960,train
8961,train
8966,train
8967,train
8972,train
8973,train
8974,train
8975,train
8977,train
8984,train
8985,train
8988,train
8989,train
8991,train
8992,train
8993,train
8998,train
9000,train
9002,train
9004,train
9011,train
9018,train
9019,train
9022,train
9026,train
9028,train
9030,train
9031,val
9032,train
9033,train
9034,train
9035,train
9039,train
9042,train
9043,train
9044,train
9049,val
9050,train
9052,val
9054,train
9057,train
9059,val
9062,train
9064,train
9069,train
9071,train
9078,train
9081,train
9083,val
9085,train
9086,train
9087,val
9090,train
9091,train
9092,train
9093,train
9094,train
9095,train
9105,train
9110,train
9111,train
9112,train
9113,train
9114,val
9115,val
9120,val
9124,val
9125,train
9126,train
9127,train
9128,val
9130,val
9134,val
9136,train
9137,train
9138,train
9139,train
9140,train
9142,train
9144,val
9145,train
9147,train
9148,train
9149,train
9153,train
9155,val
9156,train
9157,train
9162,train
9174,train
9175,train
9178,train
9181,train
9184,val
9185,val
9187,train
9188,val
9194,train
9195,train
9199,train
9203,train
9204,val
9205,train
9206,train
9207,train
9208,train
9211,train
9212,train
9214,train
9220,train
9221,train
9226,train
9229,train
9232,val
9233,train
9234,train
9238,train
9239,train
9248,val
9249,train
9251,train
9253,train
9262,train
9264,train
9265,train
9268,train
9277,train
9293,val
9295,val
9298,train
9300,val
9303,train
9308,train
9309,train
9312,train
9314,train
9315,val
9316,train
9317,val
9318,val
9320,train
9322,train
9323,train
9324,train
