,sale_price,price_class
1222,305000,0
1231,450000,0
1251,125000,0
1257,409500,0
1283,418000,0
1284,405600,0
1288,228000,0
1302,64032,0
1356,125000,0
1359,275000,0
1363,179000,0
1364,145000,0
1365,205000,0
1366,137000,0
1367,180000,0
1368,425000,0
1372,3750000,1
1386,295000,0
1392,340000,0
1393,355000,0
1394,365000,0
1398,320000,0
1401,400000,0
1402,425000,0
1403,450000,0
1410,418000,0
1411,123500,0
1415,430000,0
1423,280000,0
1440,400000,0
1454,400000,0
1460,430000,0
1483,315000,0
1486,400000,0
1497,400000,0
1498,1600000,1
1514,400000,0
1521,355000,0
1585,350000,0
1618,460000,0
1626,425000,0
1655,410000,0
1683,400000,0
1702,450000,0
1715,460000,0
1717,375000,0
1719,465000,0
1720,450000,0
1721,250000,0
1743,235000,0
1744,335000,0
1785,3450000,1
1786,449520,0
1790,3150000,1
1791,140000,0
1793,345000,0
1794,7987000,1
1807,460000,0
1808,265000,0
1815,235159,0
1816,425000,0
1852,134395,0
1853,160000,0
1859,2935000,1
1862,3875000,1
1863,3875000,1
1864,4150000,1
1866,2980211,1
1867,4100000,1
1868,2980211,1
1869,2980211,1
1872,2853990,1
1876,5700000,1
1877,49500,0
1883,65000,0
1886,50000,0
1887,50000,0
1889,120000,0
1890,144500,0
1891,170000,0
1892,155000,0
1893,155000,0
1895,170000,0
1896,67000,0
1897,75000,0
1898,285000,0
1899,378000,0
1905,2853990,1
1916,4000000,1
1917,4400000,1
1939,90000,0
1940,305000,0
1941,185000,0
1942,349500,0
1943,390000,0
1944,386591,0
1945,402500,0
1946,215000,0
1947,210000,0
1948,215221,0
1949,215000,0
1950,340000,0
1951,172500,0
1952,179000,0
1955,452000,0
1958,1700000,1
1961,458000,0
1971,1715000,1
1989,2235000,1
1993,440000,0
2001,4100000,1
2003,5500000,1
2005,4400000,1
2008,75000,0
2009,75000,0
2010,210000,0
2011,230000,0
2012,235000,0
2013,240000,0
2014,235000,0
2015,195000,0
2016,195000,0
2017,256000,0
2018,275000,0
2019,145000,0
2020,1775000,1
2029,4800000,1
2030,3000000,1
2031,2800000,1
2034,340000,0
2041,465000,0
2050,85000,0
2076,355000,0
2104,400000,0
2116,2000000,1
2121,1850000,1
2127,35000,0
2134,45000,0
2135,38000,0
2136,50000,0
2137,85000,0
2138,89000,0
2140,330000,0
2141,149000,0
2142,145000,0
2144,315000,0
2145,70000,0
2146,175000,0
2147,83000,0
2148,185000,0
2149,125000,0
2150,249999,0
2151,185000,0
2155,240000,0
2156,255000,0
2157,250000,0
2159,2375000,1
2162,320000,0
2168,5575000,1
2181,200000,0
2192,231000,0
2195,210000,0
2203,50000,0
2204,1950800,1
2206,3200000,1
2225,3640000,1
2242,50000,0
2245,400000,0
2259,400000,0
2266,2300000,1
2272,450000,0
2273,375000,0
2281,100000,0
2296,425000,0
2305,4682755,1
2308,5797904,1
2310,2250000,1
2311,4675000,1
2312,7952000,1
2314,7900000,1
2316,145000,0
2317,134000,0
2318,150000,0
2351,160000,0
2352,240000,0
2353,349999,0
2354,95000,0
2355,80000,0
2356,175000,0
2362,3000000,1
2379,180000,0
2396,1800000,1
2440,1725000,1
2441,80000,0
2449,5500000,1
2451,292000,0
2452,170000,0
2453,400000,0
2454,275000,0
2455,180000,0
2456,190000,0
2457,280000,0
2458,199100,0
2459,210000,0
2460,130000,0
2461,220000,0
2462,235000,0
2463,265000,0
2464,240000,0
2465,1920094,1
2466,1920094,1
2467,1920094,1
2468,1920094,1
2469,1920094,1
2470,1920094,1
2471,1920094,1
2472,1920094,1
2473,1920094,1
2474,1920094,1
2475,1920094,1
2476,1920094,1
2477,1920094,1
2478,1920094,1
2480,202000,0
2481,1920094,1
2482,1920094,1
2483,1920094,1
2487,200000,0
2488,182000,0
2490,110000,0
2494,185000,0
2495,167500,0
2496,259000,0
2497,315000,0
2499,350000,0
2501,395000,0
2502,355000,0
2503,420000,0
2504,365000,0
2507,210000,0
2509,395000,0
2510,230000,0
2511,225000,0
2512,280000,0
2513,259000,0
2514,320000,0
2515,228000,0
2516,310000,0
2517,390000,0
2518,195000,0
2519,160000,0
2521,160000,0
2522,225000,0
2523,210000,0
2524,200000,0
2526,365000,0
2528,225000,0
2529,230000,0
2530,195000,0
2532,60000,0
2533,210000,0
2534,350000,0
2535,359000,0
2536,350000,0
2537,295000,0
2548,359000,0
2549,350000,0
2550,350000,0
2551,40000,0
2566,305000,0
2567,360000,0
2600,400000,0
2616,375000,0
2622,2135000,1
2625,5700000,1
2626,5700000,1
2627,5700000,1
2628,1650000,1
2629,1905000,1
2631,8000000,1
2633,1965000,1
2634,1965000,1
2636,1750000,1
2637,1750000,1
2639,160000,0
2646,6050000,1
2649,145000,0
2650,349000,0
2651,85000,0
2652,330000,0
2653,361000,0
2654,175000,0
2655,410000,0
2657,270000,0
2659,320000,0
2660,252000,0
2661,310500,0
2662,400000,0
2663,260000,0
2664,3357678,1
2665,3357678,1
2666,3357678,1
2667,3357678,1
2668,245000,0
2669,3357678,1
2670,3357678,1
2671,3357678,1
2672,3357678,1
2673,3357678,1
2674,3357678,1
2675,3357678,1
2676,3357678,1
2677,3357678,1
2678,3357678,1
2679,3357678,1
2680,3357678,1
2681,275000,0
2682,3357678,1
2683,3357678,1
2684,150000,0
2686,405000,0
2688,441000,0
2689,404586,0
2690,135000,0
2691,280000,0
2694,231000,0
2696,349830,0
2697,345000,0
2698,380000,0
2699,185000,0
2700,232500,0
2701,390000,0
2702,300000,0
2704,265000,0
2707,325000,0
2709,375000,0
2710,365000,0
2711,287500,0
2712,269000,0
2713,380000,0
2714,272000,0
2715,390000,0
2716,161000,0
2717,137500,0
2720,300000,0
2722,280000,0
2723,250000,0
2724,399900,0
2725,272000,0
2726,435000,0
2727,270000,0
2728,335000,0
2729,317000,0
2730,265000,0
2731,330000,0
2732,281000,0
2733,320000,0
2734,300000,0
2735,188000,0
2736,210000,0
2737,228000,0
2738,285000,0
2739,199500,0
2740,192000,0
2741,3800000,1
2745,8700000,1
2746,4000000,1
2747,5700000,1
2754,3500000,1
2799,450000,0
2810,316000,0
2858,450000,0
2874,465000,0
2951,400000,0
2953,465000,0
3018,1750000,1
3027,200000,0
3028,215000,0
3029,199000,0
3030,230000,0
3031,209000,0
3032,125000,0
3033,100000,0
3034,199000,0
3035,225000,0
3036,190000,0
3037,148000,0
3041,150000,0
3042,6000000,1
3043,7500000,1
3050,392044,0
3060,360000,0
3062,110200,0
3069,445000,0
3076,450000,0
3079,460000,0
3080,450000,0
3082,256510,0
3088,171000,0
3093,100000,0
3107,370000,0
3111,265000,0
3141,100000,0
3190,230000,0
3191,445000,0
3200,290000,0
3203,315000,0
3209,350000,0
3210,300000,0
3212,271240,0
3213,370000,0
3214,385000,0
3215,317000,0
3216,335000,0
3217,379000,0
3218,196855,0
3219,370000,0
3221,355000,0
3222,205000,0
3223,370000,0
3224,299000,0
3225,426000,0
3228,350000,0
3229,290000,0
3230,2300000,1
3231,2300000,1
3232,2300000,1
3238,1950000,1
3239,3348400,1
3240,75000,0
3246,126000,0
3252,2060000,1
3253,2504728,1
3255,4775000,1
3256,4775000,1
3257,4775000,1
3259,105000,0
3260,118000,0
3262,2504728,1
3263,4030000,1
3264,3179354,1
3265,42500,0
3266,131190,0
3267,42500,0
3268,42500,0
3269,42500,0
3270,131190,0
3271,42500,0
3272,131190,0
3273,131190,0
3284,1999999,1
3285,3400000,1
3286,2200000,1
3287,7975000,1
3290,131776,0
3297,430000,0
3298,1740500,1
3299,1611459,1
3303,80000,0
3305,75000,0
3306,100000,0
3308,92500,0
3309,135000,0
3310,150000,0
3311,50000,0
3312,140000,0
3313,80000,0
3314,119065,0
3317,115000,0
3318,200000,0
3319,275000,0
3320,50000,0
3321,285000,0
3322,357000,0
3323,290000,0
3326,425000,0
3327,308000,0
3343,395000,0
3344,250000,0
3345,295000,0
3346,270000,0
3347,385000,0
3348,288000,0
3349,285000,0
3354,2200000,1
3358,1600000,1
3362,1800000,1
3364,7273734,1
3365,3973256,1
3369,4200000,1
3371,4200000,1
3373,4200000,1
3376,6300000,1
3378,6300000,1
3385,4700000,1
3389,1580000,1
3392,2215000,1
3395,2500000,1
3396,5018132,1
3397,5018132,1
3398,5018132,1
3408,402000,0
3414,400000,0
3432,460000,0
3448,1898000,1
3458,400000,0
3465,2725000,1
3466,2725000,1
3471,3500000,1
3475,3250000,1
3478,6800000,1
3480,6405000,1
3493,75000,0
3494,1850000,1
3496,5500000,1
3509,6500000,1
3512,8000000,1
3515,1898000,1
3516,2600000,1
3525,7225000,1
3533,6850000,1
3571,1950000,1
3582,2750000,1
3591,2874993,1
3599,3925000,1
3600,180000,0
3601,155000,0
3602,160000,0
3603,250000,0
3604,165000,0
3605,168000,0
3607,2000000,1
3608,2300000,1
3609,4150000,1
3625,4500000,1
3627,2300000,1
3628,5280000,1
3636,180000,0
3652,380000,0
3678,380000,0
3681,435000,0
3689,415000,0
3713,450000,0
3719,225000,0
3723,170000,0
3724,230000,0
3725,3650000,1
3726,3650000,1
3730,1600000,1
3731,2000000,1
3735,190000,0
3736,125000,0
3737,215000,0
3738,290000,0
3739,94000,0
3740,133000,0
3741,185000,0
3742,175000,0
3743,35000,0
3744,170000,0
3745,120000,0
3746,158000,0
3747,153500,0
3748,280000,0
3749,208000,0
3750,199000,0
3751,190000,0
3752,270000,0
3753,265000,0
3754,270000,0
3755,250000,0
3756,200000,0
3757,290000,0
3758,285000,0
3760,280000,0
3761,230000,0
3762,165000,0
3763,185000,0
3765,175000,0
3766,166000,0
3768,255000,0
3769,185000,0
3770,177500,0
3771,183000,0
3772,140000,0
3774,270000,0
3775,200000,0
3776,153260,0
3777,200000,0
3778,195000,0
3779,170000,0
3783,270000,0
3784,174000,0
3785,200000,0
3786,195000,0
3787,200000,0
3788,280000,0
3789,180000,0
3790,160000,0
3791,200000,0
3792,165000,0
3796,180000,0
3797,200000,0
3798,175000,0
3800,180000,0
3801,155000,0
3802,185000,0
3803,275000,0
3804,186000,0
3806,205000,0
3807,1600000,1
3808,180000,0
3809,266000,0
3810,250000,0
3811,195000,0
3812,180000,0
3813,185000,0
3815,315000,0
3816,245000,0
3817,215000,0
3818,200000,0
3819,260000,0
3820,185000,0
3821,195000,0
3823,250000,0
3824,180000,0
3826,180000,0
3827,189000,0
3828,157000,0
3829,209000,0
3830,270000,0
3831,250000,0
3833,260000,0
3835,205000,0
3837,135000,0
3839,160000,0
3840,190000,0
3841,125000,0
3842,286000,0
3843,195000,0
3844,191500,0
3847,205000,0
3848,190000,0
3849,184000,0
3850,265000,0
3851,270000,0
3852,185000,0
3853,1600000,1
3855,180000,0
3856,190000,0
3857,200000,0
3858,145000,0
3859,1600000,1
3860,275000,0
3861,190000,0
3862,140000,0
3863,175000,0
3865,160000,0
3866,250000,0
3868,315000,0
3870,190000,0
3871,260000,0
3872,188000,0
3873,190000,0
3875,270000,0
3876,180000,0
3877,175000,0
3878,186000,0
3888,137500,0
3892,220000,0
3893,249000,0
3894,254000,0
3895,181000,0
3896,175000,0
3897,220000,0
3898,180000,0
3899,270000,0
3902,280000,0
3903,1600000,1
3905,133000,0
3906,180000,0
3907,150000,0
3908,235000,0
3909,170000,0
3910,155000,0
3911,150000,0
3912,195000,0
3913,209000,0
3914,186000,0
3915,125000,0
3918,195000,0
3919,170000,0
3920,193000,0
3921,220000,0
3922,140000,0
3924,190000,0
3925,194999,0
3926,240000,0
3928,245000,0
3929,200000,0
3930,175000,0
3931,155000,0
3932,240000,0
3933,310000,0
3934,167500,0
3935,150000,0
3936,270000,0
3939,244000,0
3940,185000,0
3943,266000,0
3945,250000,0
3946,175000,0
3948,200000,0
3950,260000,0
3951,125000,0
3952,230000,0
3953,230000,0
3955,225000,0
3956,280000,0
3957,140000,0
3959,175000,0
3961,202000,0
3962,215000,0
3964,270000,0
3967,203000,0
3968,160000,0
3969,170000,0
3971,220000,0
3975,160000,0
3976,170000,0
3977,180000,0
3978,250000,0
3981,299998,0
3982,225000,0
3984,150000,0
3986,225000,0
3990,130000,0
3991,190000,0
3995,225000,0
3996,225000,0
3998,185000,0
3999,1600000,1
4000,230000,0
4001,203000,0
4002,250000,0
4003,270000,0
4004,166000,0
4005,183000,0
4008,180000,0
4009,150000,0
4010,230000,0
4011,145000,0
4013,170000,0
4014,1600000,1
4015,167000,0
4019,165000,0
4022,160000,0
4024,173000,0
4025,165000,0
4026,1600000,1
4027,310000,0
4028,170000,0
4029,190000,0
4031,307000,0
4032,175000,0
4033,254000,0
4034,135000,0
4035,248000,0
4036,200000,0
4037,210000,0
4038,250000,0
4039,235000,0
4041,288000,0
4042,179000,0
4043,250000,0
4044,240000,0
4046,168000,0
4048,185000,0
4051,180000,0
4052,180000,0
4053,1600000,1
4054,250000,0
4057,2100000,1
4061,2100000,1
4066,125000,0
4092,121860,0
4093,240000,0
4115,370000,0
4118,385000,0
4124,460000,0
4149,210000,0
4154,320000,0
4155,214000,0
4160,450000,0
4172,450000,0
4178,410000,0
4206,413354,0
4256,320000,0
4259,132000,0
4260,110000,0
4264,74630,0
4266,376000,0
4270,330000,0
4280,402500,0
4329,455000,0
4340,3160000,1
4342,169000,0
4343,165000,0
4344,275000,0
4345,163000,0
4346,140000,0
4347,320000,0
4348,100000,0
4349,110000,0
4350,165000,0
4351,152000,0
4352,204500,0
4353,167000,0
4354,160000,0
4355,128000,0
4356,155000,0
4357,255000,0
4358,169995,0
4359,250000,0
4360,235000,0
4361,120000,0
4362,156000,0
4364,255000,0
4365,235000,0
4366,172000,0
4367,145000,0
4368,240000,0
4369,167000,0
4370,135000,0
4371,259000,0
4372,100000,0
4373,255000,0
4374,118000,0
4375,105000,0
4376,233000,0
4377,132000,0
4378,245000,0
4379,145000,0
4380,256785,0
4381,150000,0
4382,155649,0
4383,150000,0
4384,190000,0
4385,134000,0
4386,107000,0
4393,209000,0
4395,135000,0
4397,325000,0
4398,320000,0
4400,5600000,1
4411,2275000,1
4416,2175000,1
4422,2050000,1
4423,2600000,1
4429,370000,0
4464,1700000,1
4466,1600000,1
4468,3300000,1
4471,3200000,1
4472,1950000,1
4474,1710000,1
4475,2300000,1
4476,3625000,1
4478,1880000,1
4479,2268000,1
4480,2630000,1
4482,2100000,1
4484,1700000,1
4488,400000,0
4513,3300000,1
4529,2200000,1
4531,3300000,1
4532,315000,0
4533,215000,0
4534,240000,0
4535,299500,0
4536,350000,0
4537,307000,0
4538,235000,0
4540,450000,0
4542,355000,0
4544,340000,0
4546,325000,0
4547,229000,0
4548,399000,0
4549,325000,0
4550,315000,0
4554,211000,0
4555,409000,0
4556,375000,0
4563,385000,0
4564,360000,0
4566,322000,0
4567,400000,0
4568,111540,0
4569,235000,0
4570,274000,0
4571,157500,0
4572,215000,0
4573,245000,0
4575,330000,0
4576,352500,0
4577,204002,0
4578,69300,0
4580,159390,0
4581,163350,0
4582,155925,0
4583,157988,0
4584,124163,0
4585,164175,0
4586,83467,0
4587,160689,0
4588,60188,0
4589,201000,0
4590,78938,0
4591,78938,0
4592,142875,0
4593,169125,0
4594,250000,0
4595,270000,0
4596,134000,0
4598,380000,0
4599,217000,0
4600,375000,0
4601,190000,0
4602,215000,0
4603,299000,0
4605,325000,0
4606,255000,0
4607,460000,0
4608,250000,0
4609,160000,0
4610,262000,0
4611,292500,0
4615,350000,0
4616,221000,0
4618,142999,0
4619,270000,0
4620,200000,0
4621,165000,0
4622,300000,0
4623,160000,0
4624,320000,0
4625,160000,0
4626,225000,0
4627,287000,0
4629,372500,0
4630,340000,0
4631,315000,0
4632,345000,0
4634,255000,0
4635,340000,0
4636,230000,0
4637,225000,0
4638,288000,0
4639,309000,0
4640,255000,0
4641,200000,0
4644,444140,0
4645,295000,0
4646,375000,0
4647,409000,0
4648,210000,0
4649,319000,0
4650,240000,0
4651,440000,0
4652,408000,0
4653,270000,0
4654,440000,0
4656,275000,0
4657,225000,0
4669,375000,0
4670,320000,0
4677,245000,0
4678,355000,0
4679,200000,0
4680,405000,0
4681,150000,0
4683,217500,0
4685,320000,0
4688,300000,0
4689,238000,0
4690,253000,0
4691,280000,0
4693,232000,0
4694,345000,0
4695,230000,0
4696,210000,0
4697,210000,0
4698,337500,0
4699,249000,0
4701,295000,0
4703,269000,0
4704,305000,0
4705,290000,0
4706,289000,0
4707,330000,0
4709,350000,0
4710,360000,0
4711,420000,0
4712,155000,0
4714,299000,0
4715,280000,0
4716,220000,0
4717,170000,0
4718,306000,0
4719,339000,0
4720,230000,0
4721,270000,0
4722,379000,0
4723,379000,0
4724,360000,0
4725,179000,0
4727,205000,0
4728,325000,0
4729,160000,0
4730,205000,0
4731,215000,0
4732,270000,0
4734,334000,0
4738,390000,0
4740,339000,0
4741,170000,0
4742,270000,0
4743,365000,0
4746,182500,0
4747,250000,0
4748,273880,0
4749,205000,0
4750,375000,0
4751,360000,0
4752,198000,0
4753,369400,0
4754,375000,0
4756,270000,0
4757,425000,0
4758,370000,0
4760,150000,0
4761,135000,0
4762,238400,0
4763,391500,0
4767,235000,0
4768,260058,0
4769,215000,0
4770,190000,0
4771,202000,0
4772,62000,0
4773,179000,0
4774,175000,0
4775,165000,0
4776,240000,0
4777,259000,0
4778,179000,0
4779,245000,0
4780,155000,0
4781,120000,0
4782,90000,0
4783,110000,0
4784,150000,0
4785,145000,0
4786,152000,0
4787,380000,0
4788,245000,0
4789,325000,0
4790,220000,0
4791,200000,0
4792,220000,0
4793,165000,0
4795,221000,0
4798,370000,0
4799,230000,0
4801,305000,0
4807,400000,0
4809,360000,0
4810,137500,0
4811,125000,0
4812,400000,0
4813,229000,0
4814,307000,0
4815,267500,0
4817,195000,0
4820,200000,0
4821,111728,0
4822,240000,0
4824,325000,0
4825,305000,0
4828,465000,0
4829,190000,0
4832,407500,0
4833,355000,0
4835,386000,0
4836,365000,0
4838,385000,0
4841,375000,0
4842,415000,0
4845,330000,0
4847,349000,0
4849,299000,0
4850,383000,0
4851,275000,0
4852,455000,0
4853,245000,0
4854,260000,0
4855,265000,0
4856,176500,0
4857,370000,0
4858,190000,0
4859,280000,0
4860,279000,0
4862,245000,0
4863,260000,0
4864,150000,0
4865,360000,0
4866,248000,0
4867,239500,0
4868,375000,0
4870,190000,0
4873,327000,0
4874,392000,0
4875,335000,0
4878,280000,0
4880,375000,0
4882,245000,0
4884,350000,0
4885,360000,0
4887,235000,0
4891,375000,0
4892,365000,0
4893,399000,0
4895,185000,0
4897,257500,0
4898,290000,0
4899,190000,0
4900,266500,0
4903,330000,0
4905,430000,0
4906,329143,0
4910,370000,0
4911,399000,0
4912,265000,0
4915,302238,0
4916,180000,0
4917,220000,0
4918,359999,0
4919,180000,0
4920,200000,0
4921,269000,0
4922,265000,0
4923,365000,0
4924,225000,0
4925,240000,0
4926,285000,0
4927,281555,0
4928,229900,0
4929,440000,0
4930,170000,0
4931,375000,0
4932,270000,0
4933,285000,0
4934,245000,0
4935,325000,0
4936,440000,0
4937,300000,0
4938,305000,0
4940,223080,0
4941,325000,0
4943,450000,0
4945,145000,0
4946,335000,0
4947,280000,0
4948,430000,0
4949,415000,0
4951,290000,0
4952,303000,0
4953,355000,0
4955,245000,0
4957,208000,0
4958,295000,0
4959,295000,0
4960,149000,0
4962,235000,0
4963,243000,0
4964,420000,0
4965,350000,0
4967,320000,0
4968,260000,0
4969,360000,0
4970,270000,0
4973,265000,0
4975,220000,0
4976,360000,0
4977,185000,0
4979,392000,0
4980,304200,0
4981,410000,0
4982,364000,0
4984,230000,0
4985,430000,0
4986,390000,0
4988,190000,0
4989,395460,0
4991,315000,0
4994,280000,0
4995,370000,0
4996,420000,0
4997,210000,0
4998,305000,0
5000,190000,0
5001,399000,0
5002,420000,0
5003,337155,0
5004,305000,0
5005,285000,0
5007,455000,0
5010,199000,0
5011,255000,0
5012,415740,0
5013,325000,0
5015,210000,0
5016,280000,0
5017,225000,0
5018,215000,0
5020,405600,0
5021,265000,0
5022,175000,0
5023,450000,0
5025,265000,0
5026,299000,0
5027,320000,0
5028,175000,0
5029,159000,0
5030,179900,0
5031,172000,0
5032,240000,0
5033,240000,0
5034,245000,0
5035,170000,0
5036,160000,0
5037,245000,0
5038,80000,0
5039,260000,0
5040,155000,0
5041,169000,0
5042,113000,0
5043,165000,0
5050,420000,0
5052,389000,0
5060,342000,0
5065,380000,0
5084,1700000,1
5085,108000,0
5086,300000,0
5087,195000,0
5088,360000,0
5089,160000,0
5090,185000,0
5094,2200000,1
5095,159225,0
5096,155925,0
5098,206663,0
5099,97763,0
5100,151125,0
5101,6020000,1
5102,3750000,1
5113,43000,0
5127,147250,0
5152,325000,0
5155,420000,0
5161,455000,0
5179,325000,0
5319,2225000,1
5366,4700000,1
5369,6700000,1
5371,159000,0
5372,170000,0
5373,295000,0
5374,174000,0
5375,185000,0
5376,205000,0
5377,185000,0
5378,230000,0
5379,188000,0
5380,212000,0
5381,234500,0
5382,235000,0
5383,140000,0
5384,173000,0
5385,105000,0
5387,192000,0
5388,365000,0
5389,250000,0
5390,2400000,1
5391,3625000,1
5392,360000,0
5393,1625000,1
5396,400000,0
5397,70000,0
5398,160000,0
5403,352400,0
5406,275000,0
5412,180000,0
5415,280000,0
5416,390000,0
5417,418000,0
5419,395800,0
5423,281200,0
5425,350000,0
5429,275000,0
5452,435000,0
5461,325000,0
5463,285000,0
5484,390000,0
5486,357000,0
5489,420000,0
5493,440000,0
5499,386320,0
5508,380000,0
5518,325000,0
5572,457800,0
5590,250000,0
5615,200000,0
5636,400000,0
5668,399701,0
5693,385000,0
5695,250000,0
5696,330000,0
5697,325000,0
5712,455000,0
5716,327522,0
5720,349000,0
5722,353000,0
5723,140000,0
5724,350000,0
5725,335000,0
5727,340000,0
5728,305000,0
5733,168500,0
5736,200000,0
5742,170000,0
5743,225000,0
5746,420000,0
5751,1785000,1
5754,4350000,1
5755,3570000,1
5756,2830000,1
5767,131776,0
5796,300000,0
5810,329312,0
5811,340356,0
5813,360436,0
5814,359000,0
5815,359000,0
5816,359000,0
5817,329312,0
5818,239000,0
5819,359000,0
5820,425000,0
5821,359000,0
5822,345000,0
5823,340356,0
5824,239956,0
5825,359000,0
5826,84000,0
5827,96000,0
5828,37500,0
5829,186821,0
5830,70000,0
5831,196162,0
5832,110000,0
5833,100000,0
5837,274668,0
5838,365000,0
5839,380000,0
5840,449000,0
5841,389000,0
5853,5000000,1
5872,450000,0
5873,380000,0
5890,210000,0
5903,430000,0
5904,375000,0
5905,250000,0
5907,350000,0
5909,418600,0
5913,400000,0
5914,350000,0
5916,350000,0
5917,290000,0
5919,350000,0
5920,350000,0
5921,410000,0
5925,365000,0
5926,330000,0
5938,230000,0
5963,265000,0
5964,150000,0
5965,430000,0
5976,442000,0
5985,300000,0
5992,230000,0
5993,440000,0
5996,309000,0
5997,295000,0
6008,430000,0
6017,350000,0
6025,390000,0
6039,365000,0
6049,425000,0
6053,200000,0
6059,237500,0
6068,395000,0
6079,445000,0
6081,275000,0
6082,425000,0
6093,266650,0
6116,433000,0
6148,1710000,1
6149,1832850,1
6192,200000,0
6197,380000,0
6205,300000,0
6207,400000,0
6208,257000,0
6227,370121,0
6270,330000,0
6271,290000,0
6272,313500,0
6274,325000,0
6280,100000,0
6283,400000,0
6284,300000,0
6290,402257,0
6302,405000,0
6303,310000,0
6305,455000,0
6307,450000,0
6312,240000,0
6313,339100,0
6314,425000,0
6315,225000,0
6316,400000,0
6317,275000,0
6318,2275000,1
